Tiempo,Tension
6.433326729179491e-03,-3.277662e-01
6.459623604179491e-03,-3.082202e-01
6.503451729179491e-03,-2.749468e-01
6.547279854179491e-03,-2.411758e-01
6.591107979179491e-03,-2.069073e-01
6.634936104179492e-03,-1.721413e-01
6.678764229179492e-03,-1.368777e-01
6.722592354179492e-03,-1.011166e-01
6.766420479179492e-03,-6.485797e-02
6.827779854179492e-03,-1.393469e-02
6.889139229179492e-03,3.728194e-02
6.919818916679492e-03,6.300025e-02
6.950498604179492e-03,8.865489e-02
6.981178291679492e-03,1.142459e-01
7.011857979179493e-03,1.397732e-01
7.042537666679493e-03,1.652368e-01
7.073217354179493e-03,1.906368e-01
7.103897041679493e-03,2.159731e-01
7.165256416679493e-03,2.665096e-01
7.226615791679493e-03,3.157829e-01
7.287975166679493e-03,3.637931e-01
7.349334541679494e-03,4.105400e-01
7.410693916679494e-03,4.560238e-01
7.472053291679494e-03,5.002445e-01
7.533412666679494e-03,5.432019e-01
7.572857979179494e-03,5.696434e-01
7.612303291679495e-03,5.951668e-01
7.651748604179495e-03,6.197720e-01
7.691193916679495e-03,6.434591e-01
7.730639229179495e-03,6.662281e-01
7.770084541679496e-03,6.880789e-01
7.809529854179495e-03,7.090117e-01
7.835826729179495e-03,7.223467e-01
7.862123604179495e-03,7.351847e-01
7.888420479179495e-03,7.475257e-01
7.914717354179496e-03,7.593698e-01
7.941014229179496e-03,7.707168e-01
7.967311104179496e-03,7.815669e-01
7.993607979179496e-03,7.919199e-01
8.015522041679496e-03,8.001379e-01
8.037436104179497e-03,8.079770e-01
8.059350166679496e-03,8.154372e-01
8.081264229179496e-03,8.225185e-01
8.103178291679496e-03,8.292210e-01
8.125092354179497e-03,8.355445e-01
8.147006416679497e-03,8.414892e-01
8.182068916679497e-03,8.501936e-01
8.217131416679497e-03,8.578628e-01
8.252193916679498e-03,8.644968e-01
8.287256416679496e-03,8.700956e-01
8.322318916679497e-03,8.746592e-01
8.357381416679497e-03,8.781876e-01
8.392443916679497e-03,8.806809e-01
8.484482979179498e-03,8.821406e-01
8.506397041679497e-03,8.814090e-01
8.528311104179499e-03,8.802639e-01
8.550225166679498e-03,8.787052e-01
8.572139229179498e-03,8.767331e-01
8.594053291679497e-03,8.743475e-01
8.615967354179499e-03,8.715483e-01
8.637881416679498e-03,8.683357e-01
8.690475166679498e-03,8.588637e-01
8.743068916679499e-03,8.471415e-01
8.795662666679499e-03,8.331692e-01
8.848256416679499e-03,8.169469e-01
8.900850166679498e-03,7.984744e-01
8.953443916679500e-03,7.777518e-01
9.006037666679500e-03,7.547791e-01
9.054248604179499e-03,7.318476e-01
9.102459541679500e-03,7.073680e-01
9.150670479179500e-03,6.813402e-01
9.198881416679501e-03,6.537642e-01
9.247092354179500e-03,6.246401e-01
9.295303291679501e-03,5.939679e-01
9.343514229179501e-03,5.617475e-01
9.369811104179501e-03,5.436675e-01
9.396107979179500e-03,5.252393e-01
9.422404854179500e-03,5.064629e-01
9.448701729179502e-03,4.873382e-01
9.474998604179502e-03,4.678654e-01
9.501295479179502e-03,4.480444e-01
9.527592354179501e-03,4.278751e-01
9.580186104179501e-03,3.864150e-01
9.632779854179502e-03,3.441460e-01
9.685373604179502e-03,3.010680e-01
9.737967354179502e-03,2.571810e-01
9.790561104179502e-03,2.124850e-01
9.843154854179503e-03,1.669801e-01
9.895748604179503e-03,1.206661e-01
9.987787666679503e-03,3.928354e-02
1.000970172917950e-02,1.978325e-02
1.003161579167950e-02,2.857135e-04
1.005352985417950e-02,-1.920907e-02
1.007544391667950e-02,-3.870110e-02
1.009735797917950e-02,-5.819039e-02
1.011927204167950e-02,-7.767692e-02
1.014118610417950e-02,-9.716070e-02
1.018939704167950e-02,-1.400761e-01
1.023760797917950e-02,-1.824913e-01
1.028581891667950e-02,-2.244064e-01
1.033402985417950e-02,-2.658213e-01
1.038224079167950e-02,-3.067361e-01
1.043045172917951e-02,-3.471508e-01
1.047866266667950e-02,-3.870653e-01
1.053563922917950e-02,-4.332268e-01
1.059261579167950e-02,-4.777616e-01
1.064959235417950e-02,-5.206697e-01
1.070656891667951e-02,-5.619511e-01
1.076354547917951e-02,-6.016059e-01
1.082052204167951e-02,-6.396341e-01
1.087749860417951e-02,-6.760356e-01
1.091256110417951e-02,-6.972827e-01
1.094762360417951e-02,-7.176701e-01
1.098268610417951e-02,-7.371979e-01
1.101774860417951e-02,-7.558659e-01
1.105281110417951e-02,-7.736743e-01
1.108787360417951e-02,-7.906231e-01
1.112293610417951e-02,-8.067121e-01
1.114923297917951e-02,-8.181449e-01
1.117552985417951e-02,-8.290298e-01
1.120182672917951e-02,-8.393670e-01
1.122812360417951e-02,-8.491562e-01
1.125442047917951e-02,-8.583977e-01
1.128071735417951e-02,-8.670913e-01
1.130701422917951e-02,-8.752370e-01
1.134207672917951e-02,-8.852129e-01
1.137713922917951e-02,-8.941465e-01
1.141220172917951e-02,-9.020377e-01
1.144726422917951e-02,-9.088866e-01
1.148232672917951e-02,-9.146931e-01
1.151738922917951e-02,-9.194573e-01
1.155245172917951e-02,-9.231791e-01
1.161381110417951e-02,-9.271059e-01
1.170585016667951e-02,-9.268826e-01
1.179788922917951e-02,-9.193454e-01
1.185048297917951e-02,-9.116825e-01
1.190307672917951e-02,-9.017762e-01
1.195567047917951e-02,-8.896266e-01
1.200826422917951e-02,-8.752336e-01
1.206085797917951e-02,-8.585974e-01
1.211345172917951e-02,-8.397179e-01
1.216604547917951e-02,-8.185951e-01
1.221425641667951e-02,-7.973728e-01
1.226246735417951e-02,-7.746188e-01
1.231067829167951e-02,-7.503332e-01
1.235888922917951e-02,-7.245158e-01
1.240710016667951e-02,-6.971667e-01
1.245531110417951e-02,-6.682859e-01
1.250352204167951e-02,-6.378734e-01
1.252543610417951e-02,-6.236714e-01
1.254735016667951e-02,-6.092270e-01
1.256926422917951e-02,-5.945403e-01
1.259117829167951e-02,-5.796111e-01
1.261309235417951e-02,-5.644396e-01
1.263500641667951e-02,-5.490256e-01
1.265692047917951e-02,-5.333693e-01
1.270951422917951e-02,-4.946818e-01
1.276210797917951e-02,-4.551485e-01
1.281470172917951e-02,-4.147694e-01
1.286729547917951e-02,-3.735445e-01
1.291988922917951e-02,-3.314738e-01
1.297248297917951e-02,-2.885574e-01
1.302507672917951e-02,-2.447951e-01
1.305575641667951e-02,-2.191736e-01
1.308643610417951e-02,-1.934944e-01
1.311711579167951e-02,-1.677574e-01
1.314779547917951e-02,-1.419626e-01
1.317847516667951e-02,-1.161100e-01
1.320915485417951e-02,-9.019966e-02
1.323983454167951e-02,-6.423154e-02
1.330119391667951e-02,-1.253317e-02
1.333187360417951e-02,1.320954e-02
1.339323297917951e-02,6.435808e-02
1.348527204167952e-02,1.398703e-01
1.357731110417952e-02,2.133491e-01
1.366935016667952e-02,2.841576e-01
1.372194391667952e-02,3.234370e-01
1.377453766667952e-02,3.612755e-01
1.382713141667952e-02,3.976731e-01
1.387972516667952e-02,4.326299e-01
1.393231891667952e-02,4.661457e-01
1.398491266667952e-02,4.982207e-01
1.403750641667952e-02,5.288547e-01
1.406818610417952e-02,5.458078e-01
1.409886579167952e-02,5.621048e-01
1.412954547917952e-02,5.777456e-01
1.416022516667952e-02,5.927303e-01
1.419090485417952e-02,6.070588e-01
1.422158454167952e-02,6.207312e-01
1.425226422917952e-02,6.337475e-01
1.427856110417952e-02,6.443302e-01
1.430485797917952e-02,6.543709e-01
1.433115485417952e-02,6.638696e-01
1.435745172917952e-02,6.728262e-01
1.438374860417952e-02,6.812408e-01
1.441004547917952e-02,6.891134e-01
1.443634235417952e-02,6.964439e-01
1.446702204167952e-02,7.042808e-01
1.449770172917952e-02,7.113280e-01
1.452838141667952e-02,7.175855e-01
1.455906110417952e-02,7.230534e-01
1.458974079167952e-02,7.277316e-01
1.462042047917952e-02,7.316202e-01
1.465110016667952e-02,7.347191e-01
1.474313922917952e-02,7.391325e-01
1.486585797917952e-02,7.336675e-01
1.490968610417952e-02,7.285368e-01
1.495351422917952e-02,7.218040e-01
1.499734235417952e-02,7.134690e-01
1.504117047917952e-02,7.035318e-01
1.508499860417952e-02,6.919925e-01
1.512882672917952e-02,6.788510e-01
1.517265485417952e-02,6.641074e-01
1.522963141667952e-02,6.425116e-01
1.528660797917952e-02,6.186160e-01
1.534358454167952e-02,5.924206e-01
1.540056110417952e-02,5.639254e-01
1.545753766667952e-02,5.331303e-01
1.551451422917952e-02,5.000354e-01
1.557149079167952e-02,4.646407e-01
1.559778766667952e-02,4.477182e-01
1.562408454167952e-02,4.304221e-01
1.565038141667952e-02,4.127523e-01
1.567667829167952e-02,3.947090e-01
1.570297516667952e-02,3.762920e-01
1.572927204167952e-02,3.575014e-01
1.575556891667952e-02,3.383372e-01
1.584760797917952e-02,2.688626e-01
1.593964704167952e-02,1.959310e-01
1.603168610417952e-02,1.201490e-01
1.609304547917952e-02,6.835497e-02
1.615440485417952e-02,1.576601e-02
1.618508454167952e-02,-1.076574e-02
1.627712360417952e-02,-9.101470e-02
1.631218610417952e-02,-1.218360e-01
1.634724860417952e-02,-1.525936e-01
1.638231110417952e-02,-1.832876e-01
1.641737360417952e-02,-2.139180e-01
1.645243610417952e-02,-2.444848e-01
1.648749860417953e-02,-2.749879e-01
1.652256110417952e-02,-3.054274e-01
1.658392047917952e-02,-3.585119e-01
1.664527985417952e-02,-4.103411e-01
1.670663922917952e-02,-4.609149e-01
1.676799860417953e-02,-5.102333e-01
1.682935797917953e-02,-5.582964e-01
1.689071735417953e-02,-6.051040e-01
1.695207672917953e-02,-6.506563e-01
